Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Speed
21.2,116.55918834612267,295.8681388931451,156.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.3,117.10899583832136,297.26374332188635,156.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.4,117.65880333052006,298.6593477506276,157.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.5,118.20861082271875,300.05495217936885,157.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.6,118.75841831491745,301.4505566081101,158.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.7,119.30822580711614,302.84616103685136,158.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.8,119.85803329931484,304.2417654655926,159.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.9,120.40784079151354,305.63736989433386,159.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.0,120.95764828371223,307.0329743230751,160.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.1,121.50745577591093,308.42857875181636,160.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.2,122.05726326810962,309.8241831805576,161.0,-0.1,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.3,122.60707076030832,311.21978760929886,161.5,-0.1,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.4,123.15687825250701,312.6153920380401,162.0,-0.1,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
22.5,123.70668574470571,314.01099646678136,162.5,-0.1,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
